Country,total_env_DALYs
Afghanistan,4735300
Albania,210054
Algeria,1893120
Andorra,2594
Angola,6230011
Antigua and Barbuda,3614
Argentina,1747127
Armenia,227459
Australia,632110
Austria,323881
Azerbaijan,522628
Bahamas,12215
Bahrain,34740
Bangladesh,11346436
Barbados,10603
Belarus,778828
Belgium,431436
Belize,13075
Benin,1633515
Bhutan,70261
Bolivia (Plurinational State of),787586
Bosnia and Herzegovina,281209
Botswana,182494
Brazil,9968425
Brunei Darussalam,9909
Bulgaria,533192
Burkina Faso,3165520
Burundi,2253160
Cabo Verde,24665
Cambodia,1263561
Cameroon,3891498
Canada,1068909
Central African Republic,1117757
Chad,3552503
Chile,529101
China,95968218
Colombia,2000813
Comoros,101686
Congo,793175
Cook Islands,814
Costa Rica,170403
C̫te d'Ivoire,4065928
Croatia,237106
Cuba,576653
Cyprus,31120
Czechia,498696
Democratic People's Republic of Korea,2454698
Democratic Republic of the Congo,18867604
Denmark,200227
Djibouti,90388
Dominica,3479
Dominican Republic,523659
Ecuador,709454
Egypt,4461896
El Salvador,357394
Equatorial Guinea,144786
Eritrea,675832
Estonia,64014
Eswatini,165012
Ethiopia,11023112
Fiji,53374
Finland,196642
France,2243630
Gabon,184264
Gambia,256740
Georgia,352203
Germany,3260979
Ghana,3256999
Greece,510604
Grenada,5174
Guatemala,927237
Guinea,2151614
Guinea-Bissau,355761
Guyana,65093
Haiti,1338795
Honduras,425402
Hungary,677815
Iceland,8357
India,133618390
Indonesia,16163070
Iran (Islamic Republic of),4244777
Iraq,1872286
Ireland,142671
Israel,190905
Italy,2212198
Jamaica,143703
Japan,4222245
Jordan,281865
Kazakhstan,1240779
Kenya,5903492
Kiribati,8126
Kuwait,86534
Kyrgyzstan,376291
Lao People's Democratic Republic,927293
Latvia,129729
Lebanon,158002
Lesotho,293141
Liberia,609290
Libya,251568
Lithuania,176868
Luxembourg,16594
Madagascar,2899238
Malawi,2293926
Malaysia,1427051
Maldives,9583
Mali,3471662
Malta,16772
Marshall Islands,3701
Mauritania,498352
Mauritius,51847
Mexico,4396375
Micronesia (Federated States of),5680
Monaco,962
Mongolia,238718
Montenegro,37174
Morocco,1738624
Mozambique,5065426
Myanmar,5271265
Namibia,164394
Nauru,352
Nepal,2369446
Netherlands,575743
New Zealand,134115
Nicaragua,316647
Niger,3963387
Nigeria,39087714
Niue,67
Norway,159282
Oman,100776
Pakistan,19468399
Palau,869
Panama,156316
Papua New Guinea,749268
Paraguay,338755
Peru,1233399
Philippines,7024136
Poland,2006738
Portugal,397869
Qatar,53698
Republic of Korea,1482863
Republic of Moldova,283919
North Macedonia,118965
Romania,1504076
Russian Federation,11776140
Rwanda,1400176
Saint Kitts and Nevis,1810
Saint Lucia,10324
Saint Vincent and the Grenadines,5625
Samoa,8233
San Marino,778
Sao Tome and Principe,16560
Saudi Arabia,930899
Senegal,1476444
Serbia,601583
Seychelles,4313
Sierra Leone,1870737
Singapore,120457
Slovakia,277996
Slovenia,88603
Solomon Islands,40072
Somalia,2662666
South Africa,5283813
South Sudan,1989355
Spain,1460120
Sri Lanka,1337630
Sudan,4966767
Suriname,24948
Sweden,311513
Switzerland,265737
Syrian Arab Republic,846416
Tajikistan,621643
Thailand,3941207
Timor-Leste,109644
Togo,1174340
Tonga,4567
Trinidad and Tobago,64050
Tunisia,487282
Turkey,3355593
Turkmenistan,526551
Tuvalu,589
Uganda,6033424
Ukraine,3974783
United Arab Emirates,222754
United Kingdom of Great Britain and Northern Ireland,2358394
United Republic of Tanzania,6478771
United States of America,11128932
Uruguay,122269
Uzbekistan,1935994
Vanuatu,13699
Venezuela (Bolivarian Republic of),1517594
Viet Nam,5748155
Yemen,2162616
Zambia,2485097
Zimbabwe,1831790
